"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta[1]",4.25178892717681,0.010830646128432,0.529156593751218,3.31043971743527,3.88507284282029,4.2135278101764,4.57706626984801,5.40103077078707,2387.0399735256,1.00045626655184
"beta[2]",3.26669111282686,0.00804100695367902,0.401805174266493,2.5577005803295,2.98589268459768,3.23964279500165,3.51728634629888,4.12040986754392,2496.95189091933,1.00029651422863
"beta[3]",3.9542273125699,0.0100129324861459,0.523917482601593,3.02728077075223,3.58781356604477,3.92376665482643,4.28528113545708,5.06934957805101,2737.80937044101,1.00056848456169
"beta[4]",4.24586624161816,0.0108272899504295,0.508840016695363,3.32287067867793,3.89038713599078,4.21549731072456,4.58044955063717,5.30678422870991,2208.63007696704,1.00054888825628
"beta[5]",5.4472551850399,0.0136147248601487,0.658439518529732,4.25945569605122,4.99275393424238,5.41016295995973,5.87205811897105,6.82934854416079,2338.91284580007,1.00077805740706
"beta[6]",1.87761148878552,0.00445348781065981,0.222714272154011,1.48083357168977,1.72356178202318,1.86340306760893,2.02080266366607,2.35423360400885,2500.89559451318,1.00044162033266
"beta[7]",3.04012010812392,0.00817443541312718,0.380165966070154,2.35958131628913,2.77384258062219,3.02179666324966,3.27885104450443,3.84091910514207,2162.87258327186,1.0010848706108
"beta[8]",2.1299944180166,0.00561107495816371,0.291144280582825,1.61292934870138,1.92776750575831,2.11072664167285,2.3129518319521,2.75878281325201,2692.30578901757,1.00010944131518
"theta",0.795020529976796,0.000127615478369194,0.00899662918832322,0.777495215624262,0.789009417705588,0.794889848909512,0.80115860385701,0.812820573863143,4969.96048466988,1.00019547462603
"alpha[1,1]",-0.207886052114849,0.00704106338916751,0.16721789675149,-0.515899705948136,-0.338396917197056,-0.227184190927383,-0.0113527054378122,0.0146211504139017,564.012857992996,1.00400654859247
"alpha[1,2]",-1.02675449936887,0.0082794646953183,0.731744582698421,-2.54771364836522,-1.50990645469949,-0.994558941166655,-0.517136974130684,0.304899581936376,7811.14167005468,1.00033321034421
"alpha[1,3]",-1.15917105427187,0.0097530999954905,0.370810266505515,-1.97831277468611,-1.38953108756126,-1.1264832142804,-0.892217559466984,-0.540387495904256,1445.50016564651,1.00046548702823
"alpha[1,4]",0.494488972539343,0.00229675456067832,0.151212756307334,0.238631856934373,0.386088752382105,0.481608844390142,0.589005491097339,0.825306128997263,4334.58660649331,0.999972267504215
"alpha[1,5]",-0.142432067145838,0.00210519468427091,0.0763479473986608,-0.316958252678587,-0.187819856832931,-0.134505646565008,-0.0883898814102876,-0.0171197572933876,1315.25572778571,1.00187392522398
"alpha[1,6]",1.23261412331813,0.0086944382625832,0.786433198810349,-0.311687353487123,0.70725042307265,1.22294161868962,1.75528708009555,2.79690911077912,8181.64480768788,1.00000355775761
"alpha[1,7]",0.046074786745329,0.00193019985017338,0.0485932109228632,-0.0380741075734403,0.00496579043664136,0.049327548425915,0.0819395054784377,0.136969003627517,633.791833801117,1.00363602585681
"alpha[1,8]",1.8462576899243,0.00793951123356264,0.584668860953486,0.774714734737081,1.43533791722306,1.82553316352697,2.23461174049963,3.0489066145049,5422.90995740833,0.999965737820966
"alpha[2,1]",0.637495607148906,0.00313258033413613,0.129686439566371,0.407421271462018,0.5458114477096,0.629408265995222,0.720006897510306,0.911477296057346,1713.89692705131,1.00071525376885
"alpha[2,2]",-0.0462615577922633,0.000381442350702298,0.0162278374075652,-0.0815356199160411,-0.0562707487713395,-0.044955784291771,-0.0349198021952606,-0.017792522969467,1809.93707018203,1.0004756491897
"alpha[2,3]",0.0118041615516962,0.000140004439550988,0.00775681863170813,-0.000793410901620131,0.00639821077758882,0.0108911241233213,0.0162797058050176,0.0299628221101986,3069.61323813561,1.00050357295746
"alpha[2,4]",-0.273431429294277,0.00198199060624534,0.0724197306462836,-0.432782482684409,-0.316379858243101,-0.265721708466109,-0.221748675276023,-0.153373958029666,1335.09025765426,1.00106502734553
"alpha[2,5]",-0.58185521084783,0.00652609537681369,0.273548959789112,-1.14713380857644,-0.758827705116464,-0.575033606325355,-0.399643699982479,-0.0377840791073698,1756.96577683037,1.0007821984633
"alpha[2,6]",0.0758043360074461,0.000799640564792851,0.0401283714953012,0.00741693148784222,0.0474056930690604,0.0719862620279736,0.100639641465299,0.164143484535745,2518.33462267946,1.00052398454052
"alpha[2,7]",-0.0661342407962131,0.00237648768068288,0.146855376521531,-0.328809063883159,-0.169095661243962,-0.0745123139380357,0.0282704703396732,0.245220449610804,3818.63868199594,1.00046079865028
"alpha[2,8]",0.172038720671389,0.00126221844239309,0.0452045677583447,0.0963153142155636,0.140158875121079,0.167065101914595,0.199125180647661,0.272218861769592,1282.61288661914,1.0012884448156
"alpha[3,1]",0.313575424146106,0.00896992910658958,0.99406570078643,-1.68630901620757,-0.332633900280659,0.312874013078697,0.988838528532471,2.24128278088482,12281.5210543007,1.00002700109114
"alpha[3,2]",0.213455265712027,0.00770334302947998,0.97296472890885,-1.669326654881,-0.438669287149171,0.210499254474066,0.875684306310711,2.10909035758578,15952.7558644753,1.00004618429158
"alpha[3,3]",-0.0807407002341098,0.000885750810254102,0.0786848858067069,-0.237046427147943,-0.130058287084107,-0.080087193312569,-0.0317347982148476,0.0757446956453937,7891.49927921714,1.0000962513758
"alpha[3,4]",0.43704338388646,0.00766843413589012,0.998649830247877,-1.53344050011211,-0.232218812340313,0.437562261289676,1.10040582453192,2.41813719022116,16959.5014546204,0.999881727066572
"alpha[3,5]",0.868911663356882,0.00799386729063474,0.973290965634191,-1.01400382599737,0.204547865033781,0.868893895371527,1.52108670162727,2.79423688094107,14824.2085507281,0.999847016919536
"alpha[3,6]",1.16877876780015,0.00756311522567765,0.962773823122224,-0.722352304901768,0.520505124943901,1.16937299246049,1.82211198651635,3.05004617230183,16204.9282854449,0.999884770928705
"alpha[3,7]",1.34033056768264,0.00789912958951165,0.957103296447396,-0.536759823603817,0.695786245821345,1.32730593798713,1.99314867081664,3.22702786299801,14681.1185839042,1.00001537427003
"alpha[3,8]",2.81308715361746,0.00668621177502692,0.848890964272807,1.12645459993396,2.24599691066619,2.81410290214831,3.38104258012729,4.50215506148789,16119.2030378892,0.999922393173114
"alpha[4,1]",-0.930769127756377,0.00349471717750873,0.25450025916054,-1.45415073296688,-1.09665177086539,-0.921692134948373,-0.754758821954447,-0.464042699644265,5303.37562852185,1.00036704568363
"alpha[4,2]",-0.399222892657971,0.00758015899591172,0.956618867591862,-2.27026454166775,-1.03940466976001,-0.396627288474893,0.23308770191584,1.50705513509514,15926.5333098535,0.999851942802763
"alpha[4,3]",-0.330233762991392,0.00509199345912765,0.522004751526164,-1.30604585868557,-0.685370416501992,-0.343094966981398,-0.00251569723867023,0.74556573660619,10509.2866535638,0.99996790701611
"alpha[4,4]",0.266841231001471,0.00132472483830781,0.099833264221127,0.0989390010939316,0.196841769443181,0.256369031069379,0.325903459650565,0.490259146607215,5679.35719764297,1.00040763804162
"alpha[4,5]",1.06093022832797,0.0062161989576353,0.400935610029182,0.362758142266193,0.770109805474891,1.03520600996857,1.31203149960862,1.92050729220025,4160.05860980081,1.00035056728511
