ID_focal,biomass,biomass_next,growth,NB1,NB2,NB3,NB4,NB5,NB6,NB7,NB8,sp_NB1,sp_NB2,sp_NB3,sp_NB4,sp_NB5,sp_NB6,sp_NB7,sp_NB8,plot_richness,sp,plotID_1,plotID_2,year,spp,spy
5,9465.342205,17606.66333,8141.321125,2503.456646,3849.314939,7410.967982,2570.932166,0,4037.574878,0,4653.925905,5,5,1,1,5,5,1,5,2,Castanea henryi,A,C32,3,Castanea henryi C32,Castanea henryi 3
5,17606.66333,22351.9226,4745.25927,4542.191628,6757.500413,21918.82503,3867.127533,0,6599.857748,0,8409.691675,5,5,1,1,5,5,1,5,2,Castanea henryi,A,C32,4,Castanea henryi C32,Castanea henryi 4
5,22351.9226,34054.88965,11702.96705,4880.057636,7959.790475,32804.6345,9216.728933,0,8345.126527,0,10542.65426,5,5,1,1,5,5,1,5,2,Castanea henryi,A,C32,5,Castanea henryi C32,Castanea henryi 5
5,34054.88965,48713.64898,14658.75933,4971.216003,9244.023679,52994.9547,16157.46486,0,9578.064906,0,11611.79898,5,5,1,1,5,5,1,5,2,Castanea henryi,A,C32,6,Castanea henryi C32,Castanea henryi 6
7,49.04713356,284.4613973,235.4142637,488.291463,394.3892585,67.45627746,0,115.8781948,264.004524,269.4897448,118.3814551,1,1,1,5,1,5,1,1,2,Castanea henryi,A,C32,1,Castanea henryi C32,Castanea henryi 1
7,284.4613973,1456.442354,1171.980957,2854.627014,1430.990545,131.9421791,0,291.480108,1615.029951,1168.986626,391.1697544,1,1,1,5,1,5,1,1,2,Castanea henryi,A,C32,2,Castanea henryi C32,Castanea henryi 2
7,1456.442354,2708.36954,1251.927186,7410.967982,7287.0027,91.62651324,0,1149.822911,4653.925905,5538.313689,1550.224785,1,1,1,5,1,5,1,1,2,Castanea henryi,A,C32,3,Castanea henryi C32,Castanea henryi 3
7,2708.36954,5159.351221,2450.981681,21918.82503,12794.76224,1461.719562,0,4148.126287,8409.691675,10390.06153,3953.608589,1,1,1,5,1,5,1,1,2,Castanea henryi,A,C32,4,Castanea henryi C32,Castanea henryi 4
7,5159.351221,5939.796517,780.445296,32804.6345,21541.66275,914.607471,0,9200.434984,10542.65426,17466.0346,8098.436321,1,1,1,5,1,5,1,1,2,Castanea henryi,A,C32,5,Castanea henryi C32,Castanea henryi 5
7,5939.796517,6155.771587,215.97507,52994.9547,26197.80535,2180.711015,0,13079.06673,11611.79898,19793.26719,15766.88678,1,1,1,5,1,5,1,1,2,Castanea henryi,A,C32,6,Castanea henryi C32,Castanea henryi 6
8,115.8781948,291.480108,175.6019132,394.3892585,67.45627746,123.1059785,49.04713356,236.576653,269.4897448,118.3814551,41.70024425,1,1,5,1,5,1,1,1,2,Castanea henryi,A,C32,1,Castanea henryi C32,Castanea henryi 1
8,291.480108,1149.822911,858.342803,1430.990545,131.9421791,461.9177926,284.4613973,1161.493732,1168.986626,391.1697544,214.4898822,1,1,5,1,5,1,1,1,2,Castanea henryi,A,C32,2,Castanea henryi C32,Castanea henryi 2
8,1149.822911,4148.126287,2998.303376,7287.0027,91.62651324,1419.459918,1456.442354,3749.176673,5538.313689,1550.224785,782.5982189,1,1,5,1,5,1,1,1,2,Castanea henryi,A,C32,3,Castanea henryi C32,Castanea henryi 3
8,4148.126287,9200.434984,5052.308697,12794.76224,1461.719562,3696.58005,2708.36954,6398.835187,10390.06153,3953.608589,2279.408939,1,1,5,1,5,1,1,1,2,Castanea henryi,A,C32,4,Castanea henryi C32,Castanea henryi 4
8,9200.434984,13079.06673,3878.631746,21541.66275,914.607471,7091.013411,5159.351221,9301.89208,17466.0346,8098.436321,5202.111458,1,1,5,1,5,1,1,1,2,Castanea henryi,A,C32,5,Castanea henryi C32,Castanea henryi 5
8,13079.06673,15464.1959,2385.12917,26197.80535,2180.711015,8355.222968,5939.796517,13574.29269,19793.26719,15766.88678,7473.501581,1,1,5,1,5,1,1,1,2,Castanea henryi,A,C32,6,Castanea henryi C32,Castanea henryi 6
10,264.004524,1615.029951,1351.025427,674.5627746,0,49.04713356,0,269.4897448,320.3933633,0,276.2449544,1,5,1,1,1,1,5,1,2,Nyssa sinensis,A,C32,1,Nyssa sinensis C32,Nyssa sinensis 1
10,1615.029951,4653.925905,3038.895954,3102.461761,0,284.4613973,0,1168.986626,1799.137491,0,787.0537827,1,5,1,1,1,1,5,1,2,Nyssa sinensis,A,C32,2,Nyssa sinensis C32,Nyssa sinensis 2
10,4653.925905,8409.691675,3755.76577,9465.342205,0,1456.442354,0,5538.313689,4656.78279,0,2207.65999,1,5,1,1,1,1,5,1,2,Nyssa sinensis,A,C32,3,Nyssa sinensis C32,Nyssa sinensis 3
