"","ID_focal","biomass","biomass_next","growth","NB1","NB2","NB3","NB4","NB5","NB6","NB7","NB8","sp_NB1","sp_NB2","sp_NB3","sp_NB4","sp_NB5","sp_NB6","sp_NB7","sp_NB8","plot_richness","sp","plotID_1","plotID_2","year","spp","spy"
"21",7,546.8648872,2250.651114,1703.7862268,366.1526238,32.40631362,483.0135873,80.71411262,3.166725395,5.054037181,6.496813608,20.51852702,"8","2","8","8","8","2","2","2",2,"Schima superba","A","B38/C38",2,"Schima superba B38/C38","Schima superba 2"
"22",7,2250.651114,7384.152683,5133.501569,1610.422806,165.7335423,1949.436153,484.9048261,5.497787144,56.85791829,34.31129687,82.93804605,"8","2","8","8","8","2","2","2",2,"Schima superba","A","B38/C38",3,"Schima superba B38/C38","Schima superba 3"
"23",7,7384.152683,16288.05207,8903.899387,9235.897007,448.7293867,2981.291632,2862.957261,94.01655839,198.000546,99.87123046,161.9235759,"8","2","8","8","8","2","2","2",2,"Schima superba","A","B38/C38",4,"Schima superba B38/C38","Schima superba 4"
"24",7,16288.05207,20199.57148,3911.51941,16714.28451,695.8075495,6138.827475,5261.454867,105.8873804,315.4842321,226.2264797,263.178727,"8","2","8","8","8","2","2","2",2,"Schima superba","A","B38/C38",5,"Schima superba B38/C38","Schima superba 5"
"25",7,20199.57148,29285.87645,9086.30497,22951.29971,971.0122931,9829.426561,8478.362964,221.5965575,529.0410613,423.0461304,399.6231519,"8","2","8","8","8","2","2","2",2,"Schima superba","A","B38/C38",6,"Schima superba B38/C38","Schima superba 6"
"26",8,3.166725395,5.497787144,2.331061749,32.40631362,483.0135873,0,546.8648872,107.1738626,6.496813608,20.51852702,419.096314,"2","8","2","8","8","2","2","8",2,"Schima superba","A","B38/C38",2,"Schima superba B38/C38","Schima superba 2"
"27",8,5.497787144,94.01655839,88.518771246,165.7335423,1949.436153,0,2250.651114,862.0530241,34.31129687,82.93804605,2158.743507,"2","8","2","8","8","2","2","8",2,"Schima superba","A","B38/C38",3,"Schima superba B38/C38","Schima superba 3"
"28",8,94.01655839,105.8873804,11.87082201,448.7293867,2981.291632,0,7384.152683,1861.225258,99.87123046,161.9235759,6685.091454,"2","8","2","8","8","2","2","8",2,"Schima superba","A","B38/C38",4,"Schima superba B38/C38","Schima superba 4"
"29",8,105.8873804,221.5965575,115.7091771,695.8075495,6138.827475,0,16288.05207,3468.440105,226.2264797,263.178727,9716.146856,"2","8","2","8","8","2","2","8",2,"Schima superba","A","B38/C38",5,"Schima superba B38/C38","Schima superba 5"
"30",10,0.291579068,5.054037181,4.762458113,1.619883712,5.387831401,85.50158566,0,1.27862821,2.807798434,1.451415806,0.680351159,"2","8","8","2","2","2","2","2",2,"Cyclobalanopsis glauca","A","B38/C38",1,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 1"
"31",10,5.054037181,56.85791829,51.803881109,16.41482162,80.71411262,546.8648872,0,6.496813608,45.99173835,12.24632086,5.9870902,"2","8","8","2","2","2","2","2",2,"Cyclobalanopsis glauca","A","B38/C38",2,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 2"
"32",10,56.85791829,198.000546,141.14262771,83.97477163,484.9048261,2250.651114,0,34.31129687,138.2300768,223.9327243,99.87123046,"2","8","8","2","2","2","2","2",2,"Cyclobalanopsis glauca","A","B38/C38",3,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 3"
"33",10,198.000546,315.4842321,117.4836861,173.5305826,2862.957261,7384.152683,0,99.87123046,616.7048481,259.1813939,245.6499653,"2","8","8","2","2","2","2","2",2,"Cyclobalanopsis glauca","A","B38/C38",4,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 4"
"34",10,315.4842321,529.0410613,213.5568292,339.7522499,5261.454867,16288.05207,0,226.2264797,1221.081841,586.3034105,390.4340916,"2","8","8","2","2","2","2","2",2,"Cyclobalanopsis glauca","A","B38/C38",5,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 5"
"35",10,529.0410613,942.8306362,413.7895749,601.9271889,8478.362964,20199.57148,0,423.0461304,1960.227759,1079.110373,711.5112421,"2","8","8","2","2","2","2","2",2,"Cyclobalanopsis glauca","A","B38/C38",6,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 6"
"36",11,6.496813608,34.31129687,27.814483262,80.71411262,546.8648872,3.166725395,5.054037181,20.51852702,12.24632086,5.9870902,38.87720909,"8","8","8","2","2","2","2","2",2,"Cyclobalanopsis glauca","A","B38/C38",2,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 2"
"37",11,34.31129687,99.87123046,65.55993359,484.9048261,2250.651114,5.497787144,56.85791829,82.93804605,223.9327243,99.87123046,67.73273761,"8","8","8","2","2","2","2","2",2,"Cyclobalanopsis glauca","A","B38/C38",3,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 3"
"38",11,99.87123046,226.2264797,126.35524924,2862.957261,7384.152683,94.01655839,198.000546,161.9235759,259.1813939,245.6499653,456.2672455,"8","8","8","2","2","2","2","2",2,"Cyclobalanopsis glauca","A","B38/C38",4,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 4"
"39",11,226.2264797,423.0461304,196.8196507,5261.454867,16288.05207,105.8873804,315.4842321,263.178727,586.3034105,390.4340916,721.4659675,"8","8","8","2","2","2","2","2",2,"Cyclobalanopsis glauca","A","B38/C38",5,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 5"
"40",11,423.0461304,1333.974237,910.9281066,8478.362964,20199.57148,221.5965575,529.0410613,399.6231519,1079.110373,711.5112421,1214.040207,"8","8","8","2","2","2","2","2",2,"Cyclobalanopsis glauca","A","B38/C38",6,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 6"
"41",12,20.51852702,82.93804605,62.41951903,546.8648872,3.166725395,107.1738626,6.496813608,419.096314,5.9870902,38.87720909,75.75008206,"8","8","8","2","8","2","2","2",2,"Cyclobalanopsis glauca","A","B38/C38",2,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 2"
"42",12,82.93804605,161.9235759,78.98552985,2250.651114,5.497787144,862.0530241,34.31129687,2158.743507,99.87123046,67.73273761,211.4920174,"8","8","8","2","8","2","2","2",2,"Cyclobalanopsis glauca","A","B38/C38",3,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 3"
"43",12,161.9235759,263.178727,101.2551511,7384.152683,94.01655839,1861.225258,99.87123046,6685.091454,245.6499653,456.2672455,685.7939683,"8","8","8","2","8","2","2","2",2,"Cyclobalanopsis glauca","A","B38/C38",4,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 4"
