"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta[1]",3.65405427999566,0.0149040328857493,0.905743554554318,2.14266257110893,3.00579329953872,3.56154865935385,4.19879865486688,5.67784353543405,3693.20065633182,1.00002982638282
"beta[2]",3.48830422616501,0.0116952674098343,0.402958479603215,2.75742028924497,3.21073121036807,3.46965726360603,3.73818427076797,4.35194199554191,1187.13548233594,1.00062511548507
"beta[3]",5.31720293486504,0.018232231427105,0.668973972279757,4.14813515765934,4.84257112288896,5.27747937337521,5.73397868427729,6.76760710397284,1346.29053459572,1.00091543902543
"beta[4]",2.12295496033904,0.00781506783777669,0.294352201558184,1.60845730983909,1.91570749667793,2.10139588401301,2.30673779800011,2.75813462805765,1418.62978001199,1.00125901906132
"beta[5]",4.93120827591493,0.0165996690703547,0.557919180404248,3.93389380957004,4.53618646358574,4.89472020169238,5.28721886633805,6.10246837696099,1129.64952476841,1.00133417370615
"beta[6]",1.66124590536082,0.005599776598979,0.211875027179344,1.29048367504152,1.5127104900625,1.64720627087664,1.79317067726403,2.12527495755601,1431.58829832972,1.00096615747267
"beta[7]",1.95591727223656,0.00707247463355874,0.279351143238018,1.45907050731168,1.75844940124411,1.93653105007961,2.12896885477889,2.55234590385715,1560.12037646333,1.00063310648116
"beta[8]",6.43332688548488,0.0204646475611904,0.77356442973667,5.0371627985495,5.88949538852266,6.40419175366133,6.93284059037581,8.06344113046692,1428.84277773937,1.00059996036106
"theta",0.810070321450515,0.000165950758347386,0.00946614779053293,0.791727050498034,0.803550212107677,0.810125043377491,0.816399301957435,0.828659075440009,3253.77919977626,1.00090026447186
"alpha[1,1]",0.13878294418359,0.00224029653419408,0.162227296351567,-0.13081930834832,0.0268155192561322,0.121037419013447,0.229743294917299,0.512050879438406,5243.6880423848,1.00040591397571
"alpha[1,2]",-0.388678661961585,0.0113898799139012,0.923588276804945,-2.22410614466526,-1.02088426070492,-0.386954320563323,0.24400251586555,1.41689814875734,6575.34482380028,1.00062844961303
"alpha[1,3]",0.172158894001496,0.0110684714846627,0.98696104711401,-1.76009635125652,-0.490075742067275,0.174646182934541,0.822350310902959,2.13105693084344,7951.05438248043,0.99986606773553
"alpha[1,4]",-0.372007031434465,0.0102576709203656,0.800190474697909,-1.97058664201798,-0.918513151963362,-0.366717717663457,0.179967932548532,1.19314239116461,6085.40140210008,1.00014268318596
"alpha[1,5]",-0.626065162520466,0.0105200123862175,0.771158185992135,-2.18029332705474,-1.12788748554633,-0.610995288375396,-0.104733239060987,0.852279113100603,5373.46523970716,1.00022287789531
"alpha[1,6]",0.0107333573509487,0.010249143839496,1.00015940491146,-1.91786327352145,-0.664253275394324,0.00975487683716277,0.686336302447966,1.95278455161388,9522.76944812756,1.00033098706642
"alpha[1,7]",-0.35946408658851,0.00918352094681718,0.770942402737996,-1.84794576159789,-0.87390307980388,-0.36927947941917,0.142660550041104,1.17070557157333,7047.34323935375,0.999933206880999
"alpha[1,8]",-0.109523018621093,0.00447780395706623,0.3408478208857,-0.8145902091028,-0.324212913193944,-0.0986662492231565,0.119800976590874,0.535975608901808,5794.16544836813,1.00120319451779
"alpha[2,1]",0.764012305329825,0.00737550385125132,0.406651690040247,-0.0058991942926308,0.490170781992656,0.758462051756346,1.0276910075169,1.58959685173955,3039.91734173028,1.00133722673028
"alpha[2,2]",-0.0737019105324777,0.000669853095950798,0.0337066801356071,-0.141882564165729,-0.0954717718865631,-0.0735583511975172,-0.0512224841733581,-0.00803277112713205,2532.05317308544,1.00181453609191
"alpha[2,3]",-0.364476622172198,0.00219826044408954,0.157748311040643,-0.653236630116803,-0.469225235605331,-0.372625857064875,-0.269285206517637,-0.0279541989475373,5149.57213125871,1.00068290508621
"alpha[2,4]",0.186410652639187,0.00321254183375665,0.128632698285546,-0.0596441947010566,0.10212932146841,0.183664412682959,0.267259773230914,0.448715511673598,1603.2644987287,1.00035237017033
"alpha[2,5]",0.553817770246714,0.00279274880774929,0.202236193135348,0.200174201148468,0.410439765345519,0.53934522791226,0.683038554627322,0.981193052368198,5243.89531276518,1.00024361504153
"alpha[2,6]",0.0538368930423891,0.000538525456317372,0.0282629442802976,0.00177587030018169,0.034964623133912,0.0524185883490185,0.0713211466271225,0.114793321308025,2754.37031935463,1.00183379515865
"alpha[2,7]",-0.0846995727118312,0.00262148886879076,0.0594076876409516,-0.184063991001892,-0.113225770922139,-0.0827431062382514,-0.0513662583450614,0.0179760391699945,513.557718564557,1.00139758595833
"alpha[2,8]",-0.0198149820024637,0.000386555218020291,0.019200472659036,-0.0565413455845694,-0.0324506719147327,-0.0201539898806643,-0.00773867848003692,0.0196225177259991,2467.17956702083,1.00159620610726
"alpha[3,1]",-1.44429657679948,0.00574900484176224,0.349866871261414,-2.17511214110818,-1.66700606653844,-1.43644487673583,-1.20846993467131,-0.781436044128475,3703.56775053171,1.00103859844636
"alpha[3,2]",0.738580299795861,0.00323914368229456,0.208185058848054,0.364241682314354,0.592351525587242,0.726135696145916,0.872221843487381,1.18148628348644,4130.84300156485,1.00119413150794
"alpha[3,3]",-0.304407474591158,0.00132367030985983,0.0752513541034732,-0.44713661523698,-0.354092579866978,-0.306751077784825,-0.255591027784711,-0.150913439491887,3231.98236981459,1.00142514878779
"alpha[3,4]",-0.251224161217575,0.00106551389815145,0.0563007951820175,-0.386186624711316,-0.28115058958909,-0.243552980200622,-0.212665477022909,-0.163476387023609,2791.97046562194,1.00137124523082
"alpha[3,5]",0.43409170533497,0.00175472329856156,0.0880577784360091,0.261540303166356,0.375515504868749,0.435458491080947,0.492907705501038,0.605508426922164,2518.36203894759,1.00109741709014
"alpha[3,6]",-0.0204657372936596,0.0106711185029398,0.87112514059732,-1.75043019846927,-0.595790649111283,-0.00918501003483283,0.573965050855122,1.65592628768009,6664.0954627614,1.00060391274592
"alpha[3,7]",-0.336142508391967,0.00448091550810446,0.284398375374852,-0.954087875530079,-0.49490076647056,-0.317042228508181,-0.153431760875066,0.161096740862467,4028.28985315365,1.0011636841723
"alpha[3,8]",-0.494248114868062,0.00248227336588347,0.157077110535597,-0.798753713799536,-0.594097344256136,-0.498128651714319,-0.396689528309276,-0.182261842262053,4004.29986590407,1.00089836145349
"alpha[4,1]",0.986680991363364,0.0121882474311782,0.852453174969892,-0.692222194537993,0.419789589328977,0.988341334016485,1.55137013726834,2.66350180150938,4891.68565403642,1.00019124046097
"alpha[4,2]",-1.15290589375852,0.00677392342640233,0.477127418520022,-2.10609650435371,-1.47244419196125,-1.14625329497746,-0.825331484026413,-0.236862129489852,4961.2165380791,1.00066345074772
"alpha[4,3]",0.140363039667591,0.00772889676250746,0.659881619182998,-1.08858656349318,-0.318631245588976,0.119375023923091,0.570448842384677,1.50312466150344,7289.48841569375,1.00037715888272
"alpha[4,4]",-0.0908002525413762,0.00147234476890742,0.0995172886193954,-0.281417711554054,-0.1578544680186,-0.0934380295329756,-0.0261061811246289,0.111598789082516,4568.54634246559,1.00020833538622
"alpha[4,5]",0.694560986637336,0.00258027695608051,0.193627381587576,0.320741185944917,0.564682099698604,0.688541433425509,0.824085712908954,1.08411626910028,5631.19929074565,1.00011876543607
"alpha[4,6]",-0.167888855588299,0.00986424443321863,0.773229658621985,-1.72570926928897,-0.683696141043627,-0.150218128155572,0.348719565052491,1.31474237512058,6144.53973202149,1.00008760966965
"alpha[4,7]",1.12574790160884,0.00673169753625434,0.470467938906384,0.232857986781575,0.810621447619545,1.1170368741571,1.42910116529861,2.07531021938486,4884.39611259996,1.00006167266119
"alpha[4,8]",-0.93237974459533,0.007793291132593,0.515099805501188,-1.94192721489849,-1.27655644150506,-0.934964942506333,-0.588036367309345,0.0718387471171846,4368.58681804191,1.00018383242619
"alpha[5,1]",0.972291250194963,0.00536142453139753,0.271681551366359,0.484859841553326,0.781534261427823,0.955490546214096,1.14470443514614,1.55257458911934,2567.79236205898,1.00018138300784
"alpha[5,2]",0.107344247776351,0.000965941360648737,0.0392109993782725,0.0374284410542925,0.0806196316688432,0.104795278395913,0.131472066357712,0.191598933023894,1647.8371805702,1.00151323429397
"alpha[5,3]",0.100099270305592,0.000770146829429621,0.0446791796877715,0.0201059847359711,0.0686351085646699,0.0982184139726762,0.1288633138962,0.19363165253441,3365.60634697364,1.0000219329187
"alpha[5,4]",0.0307487070083675,0.000646369963478367,0.038277076918733,-0.0395699922144991,0.00426095153699015,0.0292051203031196,0.0551270759135579,0.110478620184021,3506.83390056283,1.00055319647312
"alpha[5,5]",-0.23421303172268,0.000962486801187776,0.0470407810397584,-0.333001747002466,-0.264836897904836,-0.231517725968011,-0.201033599181218,-0.149183477821962,2388.68830118799,1.00025550259025
"alpha[5,6]",0.286070715232296,0.112582947359767,0.816742273964106,-1.32799374842202,-0.39287496855214,0.482334842995783,0.91401144040292,1.55712696219592,52.6289665082113,1.0502130890011
"alpha[5,7]",-0.636448148137043,0.0458217921750895,0.36502327141959,-1.50305865556755,-0.855178435358937,-0.547705444646816,-0.36989125846125,-0.125118223087307,63.4595464080294,1.03787387710431
"alpha[5,8]",0.198598508894051,0.0161267500856841,0.134916460808132,0.00144112081613232,0.100146440355494,0.16961867406899,0.2783179302253,0.51253152535538,69.9900282031344,1.0347690604447
"alpha[6,1]",1.14666123470745,0.00687930151988867,0.408529227762416,0.391740473567042,0.862574448590641,1.1307693744515,1.4191744124661,1.97566198738846,3526.6111491817,1.00057133033408
"alpha[6,2]",0.226218420863709,0.00204994477317629,0.110734317202486,0.0348465262399867,0.145221897061816,0.22007240755832,0.298559835918426,0.458229851505864,2917.96542825615,1.00026248669648
"alpha[6,3]",0.232450328562364,0.00706828113127688,0.622611615362079,-0.911493218923785,-0.197156472768109,0.207286530109588,0.631162326814223,1.5383896003294,7759.01886550659,0.999967823337747
"alpha[6,4]",-0.470379793983378,0.00612460855206452,0.337589802830017,-1.14644699784967,-0.693420232448656,-0.467406391132044,-0.247290320026533,0.201041878142839,3038.23922930939,1.00027773464277
"alpha[6,5]",0.528672134185191,0.00379147435253869,0.308621622082327,0.00687764588387617,0.310150364510468,0.497371319973659,0.715054501299216,1.22596231494537,6625.77149237953,1.00068770403235
"alpha[6,6]",-0.094842078152341,0.000949569485081043,0.0533699560680076,-0.204031920009359,-0.129993862006809,-0.0926131198342979,-0.0587547343409533,0.00612736449543937,3158.93137138315,1.00075841802598
"alpha[6,7]",0.199714726035871,0.00204315911034984,0.106690353193101,0.0129487635647153,0.124838568864545,0.190965372176584,0.267668323784593,0.425418879576497,2726.75381043214,1.00084188199837
"alpha[6,8]",-0.0116110786634073,0.00111425524247929,0.0990232827345807,-0.207297320162351,-0.076143991528667,-0.0125832533490714,0.0524937825710958,0.186707252681749,7897.78427578681,1.0001638334036
"alpha[7,1]",0.079225976444735,0.0120481908308693,0.965706367525312,-1.80079946003353,-0.581221457479305,0.086589541325569,0.745520775903514,1.95469174743977,6424.60623166297,1.00025735870865
"alpha[7,2]",1.28266629404482,0.00939712226161572,0.745306018484163,-0.146783385036749,0.773086248493645,1.2850265224831,1.78082688048285,2.7469202805912,6290.41794959819,0.999848614122735
"alpha[7,3]",0.0624827125606053,0.0102023495470625,0.982882111463727,-1.89543200174431,-0.592894835638218,0.07443732295875,0.731491043159988,1.94500654441211,9281.16436502805,1.00002553212365
"alpha[7,4]",1.55953080073793,0.010449505325046,0.868367876772865,-0.120870026998829,0.976691339440129,1.56058371640069,2.14538066074709,3.27878837256307,6905.83242229752,1.00008254009478
