"","a1","a2","a3","a4","a5","a6","a7","a8"
"a1",0.139,-0.389,0.172,-0.372,-0.626,0.011,-0.359,-0.11
"a2",0.764,-0.074,-0.364,0.186,0.554,0.054,-0.085,-0.02
"a3",-1.444,0.739,-0.304,-0.251,0.434,-0.02,-0.336,-0.494
"a4",0.987,-1.153,0.14,-0.091,0.695,-0.168,1.126,-0.932
"a5",0.972,0.107,0.1,0.031,-0.234,0.286,-0.636,0.199
"a6",1.147,0.226,0.232,-0.47,0.529,-0.095,0.2,-0.012
"a7",0.079,1.283,0.062,1.56,0.5,0.701,0.403,-0.347
"a8",0.327,-1.197,-0.368,-0.63,-0.126,-0.368,1.199,-0.019
